단어,빈도수
홍콩,184
프라임,93
개국,117
득찬,11
인스타,285
핫후,1
올린다,26
내달,163
업계,775
오비맥주,3
인상,367
라벨,43
얼짱,27
이마트,685
동아쇼핑,1
센트,108
마트,267
신나요,5
맨첨,2
머쓱타드,2
타임,361
베리,271
주위,48
유형,57
소환,115
파이낸셜뉴스,110
맥줏값,1
배럴,256
컬래버레이션,7
기획,510
청정,59
스포츠,468
웨어,255
용도,72
잠옷,38
귀염둥이,21
가즈,38
재민,133
앵콜,20
강타,13
오리온,415
한정,240
센트레아,3
사이클,50
크루,101
달리,147
캔류,1
수거,47
사이즈,146
감소,337
보임,105
이상만,21
가능,1091
대물,62
발효,49
같은덴,2
검색,1055
살균,63
소독제,21
장난감,44
소독,22
피해,344
보관,95
오케이,415
블랙데이,2
깜짝,196
스타우트,6
츄러스,19
선봬,34
신아일보,12
경험,342
즐거움,38
스트릿,12
츄러,1
클라우드,597
김태형,30
성사,62
성은,67
사상,282
차지,199
태형,265
덕분,255
다해,113
괜차,11
각막,5
소유자,26
돈쭐,4
나야,76
쭉쭉,42
정희,55
뉴시스,310
떼떼,3
에스텔,18
콜라,56
유키스,7
한류,89
초창,20
남미,16
투어,209
유럽,481
한적,29
메이져,12
타고,292
전파,105
수현,57
캠핑카,53
바베큐,19
한잔,55
영혼,91
회식,44
발라드,21
대리,692
팬덤,64
또한,241
또구,1
이데일리,496
퓨어,77
배당금,116
굿즈,30
증정,319
고생,300
팬심,5
주시,190
막강,10
샤이니월드,2
누나,172
자발,37
철기시대,2
간만,90
소액,189
푸리,24
무대,413
제법,92
슈링,2
대성,166
발전,623
훈씨,1
한국인,150
곡식,4
밥표,1
인터뷰,372
트렌드,223
킹핀,3
박상돈,4
한경,35
세븐일레븐,48
바로,1371
페페,15
스밍,68
총총,14
루스,161
왕덤,3
신분증,8
술브랸드,1
실트,53
아주,595
난리,154
불금,31
인의,37
위너,25
갈래,99
브로,79
남궁,5
덕배,9
섭렵,5
우짜,11
오피,478
안목,17
랭크인,1
인물,514
연예인,108
착취,55
남성,528
이미지,324
세탁,52
병따개,2
미남,63
얼굴,962
얼빡,2
따개,3
낭낭,17
다음주,174
무릉도원,3
서구,45
마이너스,150
덕좀,1
더살걸,3
이듬,6
포토,602
카드,1025
투명,102
등신대,21
팔로우,257
거나,222
아침,616
루틴,16
유산균,120
바이옴,72
요리,254
그게,623
양제,44
습관,99
이면,272
소장,140
폐암,46
연구소장,81
서울대,204
수의,52
출신,340
