단어,빈도수,라벨링
페이,280,0
경쟁,280,0
완성,280,0
발견,280,0
소송,280,-3
시가총액,280,0
비용,280,-1
사료,280,0
씽크빅,280,0
백산,280,0
샘표,279,0
풀무원,279,0
보호,279,0
비올,279,0
진양,278,0
하나마이크론,278,0
신한,278,0
서희,277,0
흑자,277,2
홀렸다,277,-1
반등,277,2
섹스,277,0
가성,277,0
밥캣,276,0
장전,276,0
다가,276,0
소속,276,0
가수,276,0
앤비,276,0
스타코,276,0
하라,276,0
단타,276,0
락앤락,276,0
남해,276,0
렌탈,276,0
중간,276,0
출연,276,0
무역,276,0
손절,275,-3
퍼스트,275,0
스윙,275,0
편의점,275,0
설비,275,0
시티,275,0
스테이,275,0
로우,274,0
판도라티비,274,0
엑세스,274,0
모드,274,0
경쟁률,274,0
김건희,274,0
은결,274,0
청년,274,0
부담,273,-2
알림,273,0
인켈,273,0
동부,273,0
뷰노,273,0
종근당,273,0
지사,272,0
이면,272,0
조직,272,0
대구인,272,0
서울시,272,0
컬리,272,0
전투,272,0
사내,272,0
품질,271,0
하이브,271,0
인프라,271,0
세대,271,0
이월드,271,0
베리,271,0
독일,271,0
조광,270,0
선진,270,0
베니,270,0
통운,270,0
익스,270,0
패키지,269,0
재생,269,0
인포,269,0
전화,269,0
초등,268,0
충격,268,-2
트론,268,0
점심,268,0
유앤아이,268,0
마트,267,0
의료기기,267,0
사조,267,0
코프,267,0
토마토,267,0
제우스,267,0
파크,266,0
로조,266,0
사우스,266,0
방금,266,0
데브,266,0
줌인터넷,265,0
화재,265,-1
사유,265,-1
차세대,265,1
반응,265,0
그날,265,0
삼익악기,265,0
태형,265,0
위로,265,0
가사,264,0
신입사원,264,0
이나,264,0
일당,264,0
한프,264,0
침구,264,0
연구개발,264,1
가상,264,1
파커,264,0
안산,264,0
대현,264,0
분철,264,0
테슬라,263,0
선배,263,0
냄새,263,0
감염증,263,0
빌딩,263,0
성우,263,0
우리나라,263,0
충전,263,0
반대,263,-3
랜드,262,0
사망자,262,-3
제과,262,0
퀘스트,262,0
매일유업,262,0
경쟁력,262,0
씨발,261,-3
대동,261,0
교촌,261,0
타이어,261,0
이엠,261,0
마을,261,0
첫날,261,0
확장,261,0
진도,261,0
정우,261,0
조대림,260,0
웨이,260,0
베스파,260,0
면도날,260,0
과제,260,0
팝콘,260,0
공간,260,0
뉴미디어,260,0
심장,260,0
요구,260,0
구성,259,0
에스케이,259,0
전쟁,259,0
이틀,259,0
개사,259,0
덕산,259,0
아저씨,259,0
건축,258,0
부회장,258,0
검토,258,0
전주,258,0
잡고,258,0
옛날,258,0
팔로우,257,0
로스,257,0
비밀,257,0
디앤,257,0
율호,257,0
광동,257,0
보시,256,0
시안,256,0
공연,256,0
튀어,256,-1
엔터테인먼트,256,0
변화,256,0
잠깐,256,0
다산,256,0
배럴,256,0
클릭,256,0
양산,256,1
오컴,256,0
시점,256,0
말씀,255,0
사례,255,0
덕분,255,1
웨어,255,0
