기업명,감성지수
아이씨디,8
이베스트이안스팩1호,8
에스코넥,8
푸른기술,8
크루셜텍,8
금화피에스시,8
대화제약,8
한국콜마홀딩스,8
그린케미칼,8
기산텔레콤,8
동방아그로,8
KG케미칼,8
레드캡투어,8
하이투자증권,8
NICE평가정보,8
에스제이켐,8
레드로버,8
대성산업,8
유안타,8
세중,8
유비케어,8
SUN&L,8
로체시스템즈,8
대신밸런스,8
멕아이씨에스,8
제이앤드,8
동부건설,8
다우기술,8
JYP Ent.,8
하나머티리얼즈,8
엘비세미콘,8
에이아이비트,8
엔에스엔,8
레인보우로보틱스,8
사람인에이치알,8
현대그린푸드,8
한국경제TV,8
루켄테크놀러지스,8
골드퍼시픽,7
오킨스전자,7
현대에버다임,7
보령제약,7
동우당제약,7
모비스,7
제로투세븐,7
엘앤에프,7
KH 일렉트론,7
에이펙스인텍,7
에코프로비엠,7
우리종금,7
유유제약,7
우리금융캐피탈,7
이브이첨단소재,7
LX세미콘,7
대한유화,7
효성,7
SBS,7
어보브반도체,7
맥스로텍,7
씨젠,7
CSA 코스믹,7
이노와이즈,7
에스디생명공학,7
하나머스트,7
대정화금,7
문배철강,7
녹십자셀,7
뿌리깊은나무들,7
엠에프엠코리아,7
비덴트,7
더블유게임즈,7
네오팜,7
기신정기,7
박셀바이오,7
투에버,7
국영지앤엠,7
삼아제약,7
아이에스동서,7
퓨쳐스트림네트웍스,7
신화인터텍,7
종근당,7
상상인증권,7
이노와이어리스,7
코리아써키트,7
유엑스엔,7
마이크로프랜드,7
엘에스아이앤디,7
롯데글로벌로지스,7
원익QnC,7
아바코,7
한일홀딩스,6
웰크론한텍,6
케이티파워텔,6
파인테크닉스,6
대한광통신,6
휴스틸,6
쿠쿠홀딩스,6
파마리서치,6
이비테크,6
삼성머스트,6
미래생명자원,6
와이솔,6
케이탑리츠,6
테이팩스,6
하이즈항공,6
지엔코,6
영원무역,6
파워 고배당저변동성,6
일신방직,6
에스큐사이언스,6
릭스솔루션,6
잇츠한불,6
일양약품,6
덴티움,6
판타지오,6
레이,6
정상제이엘에스,6
코윈테크,6
대원산업,6
오리엔트전자,6
에프엔에스테크,6
디엔에프,6
이그잭스,6
삼현철강,6
테크윙,6
쿠쿠홈시스,6
파라텍,6
라이온켐텍,6
메리츠금융지주,6
동아엘텍,6
코아시아옵틱스,6
피에스텍,6
이화공영,6
맵스리얼티1,6
큐에스아이,6
액트로,6
지코,6
대원화성,6
누리플렉스,6
한올바이오파마,6
서암기계공업,6
LX인터내셔널,6
롯데케미칼,6
잘만테크,6
서한,6
제이엠아이,6
